hashtag,raw_count,deduplicated_count
#borsaistanbul,1,1
#bist100,1,1
#mecca,1,1
#MiddleEastGeopolitics,1,1
#DefenseDeal,1,1
#SirajLive,1,1
#SupplyChainShock,1,1
#CommodityMarkets,1,1
#HardPower,1,1
#MacroThreats,1,1
#CyberWarfare,1,1
#EnergySecurity,1,1
#farukanaliz,1,1
#turkey,1,1
#GlobalSouth,1,1
#Accountability,1,1
#Article5,1,1
#NewMiddleEast,1,1
#Saudiarabia,1,1
#Middleeast,1,1
#Americans,1,1
#Foxnews,1,1
#BDMilitary,1,1
#War,1,1
#LIVE,1,1
#Faultlines,1,1
#PalkiSharmaShow,1,1
#SyriaStrike,1,1
#MEA,1,1
#Military,1,1
#PakistanGeopolitics,1,1
#PakistanMilitary,1,1
#PakistanForeignPolicy,1,1
#PakistanTurkey,1,1
#SackOfSalt,1,1
#MuslimWorld,1,1
#AbuAlDuhur,1,1
#IslamicArt,1,1
#MakkahDefence,1,1
#IndiaGlobal,1,1
#MiddleEasr,1,1
#DonaldTrumUsPresident,1,1
#Coup,1,1
#Democracy,1,1
#Menderes,1,1
#Elections,1,1
#PakistanSecurity,1,1
#PakistanDiplomacy,1,1
#StrategicDefense,1,1
#GoogleAlerts,1,1
#EastNATO,1,1
#TheGunnserSight,1,1
#TheGunnersSight,1,1
#Live,1,1
#قوم_کا_خیرخواہ_قید_میں_ہے,1,1
#MeccaJointDefenceAgreement,1,1
#America,1,1
#security,1,1
#SaudiTurkeyPakistan,1,1
#WorldNews,1,1
#SanjayUpadhya,1,1
#JointDefence,1,1
#MeccaDefenceJointAgreement,1,1
#Nuclear,1,1
#Geopolitcs,1,1
#DefenceDeal,1,1
#SaudiPakistan,1,1
#Badakhsha,1,1
#awaztvnews,1,1
#DefenceAgreement,1,1
#OFAC,1,1
#JaredKushner,1,1
#Developing,1,1
#MBS,1,1
#TrumpEpsteinCoverUp,1,1
#ANN,1,1
#AsiaNewsNetwork,1,1
#Breaking,1,1
#8216,1,1
#8217,1,1
#RaceToPower,1,1
#WIONDispatch,1,1
#AdnanMenderes,1,1
#USIran,1,1
#Sanctions,1,1
#Midterms,1,1
#AmYisraelChai,1,1
#JewishVoices,1,1
#StandWithIsrael,1,1
#StandWithJews,1,1
#WeRemember,1,1
#JewishLivesMatter,1,1
#NeverAgain,1,1
#WeStandWithIsrael,1,1
#NationWithYouCDF,1,1
#bitcoin,1,1
#solana,1,1
#crypto,1,1
#IsraelStrong,1,1
#IsraelUnderAttack,1,1
#EducateToEradicate,1,1
#EndAntisemitism,1,1
#unease,1,1
#50WordEdit,1,1
#EnvisionPakistan,1,1
#EgyptTurkey,1,1
#سلام_عاصم_منیر,1,1
#ProsperityWithCDF,1,1
#HamaraMaanCDF,1,1
#SymbolOfGreatnessCDF,1,1
#Alliance,1,1
#jointdefence,1,1
#WestAsiaSecurity,1,1
#IllustratedDailyNews,1,1
#IndianForeignPolicy,1,1
#IndiaPakistanRelations,1,1
#GeopoliticsNews,1,1
#exposes,1,1
#Economy,1,1
#PowerShift,1,1
#cineinkpodcast,1,1
#ME,1,1
#WestPoint,1,1
#Strategy,1,1
#LINEマンガガチャ,1,1
#PakistanTurkiye,1,1
#OPINION,1,1
#IndiaSaudiArabia,1,1
#107,1,1
#IndieNewsNow,1,1
#Realism,1,1
#SunniAlliance,1,1
#DefenseAgreement,1,1
#TransitionProtocol,1,1
#قیام_جواب_اعدام,1,1
#جنبش_دادخواهی,1,1
#Tehran,1,1
#Mecca_agreement,1,1
#Mecca_Pact,1,1
#NorthKorea,1,1
#ABPLIVE,1,1
#StrategicTalkByNayanimaBasu,1,1
#SaudiTurkPakPact,1,1
#JointDefencePact,1,1
#Lebanon,1,1
#Japan,1,1
#NewQua,1,1
#Iranwar,1,1
#DebtCrisis,1,1
#Dedollarization,1,1
#TrumpParalysis,1,1
#ProfessorPape,1,1
#StrategicParalysis,1,1
#EscalationTrap,1,1
#TheRussianSpring,1,1
#GoodTriumphs,1,1
#Houthis,1,1
#BalanceofPower,1,1
#EU,1,1
#Erbakanism,1,1
#BurakNews,1,1
#Balochistan,1,1
#NEWS,1,1
#IranHardPower,1,1
#HormuzControl,1,1
#GulfRealignment,1,1
#PakistanArmy,1,1
#PaksitanAirforce,1,1
#RedSeaAttack,1,1
#NuclearDeterrence,1,1
#Islamabad_IRNA,1,1
#CDFForPakistan,1,1
#PakistanZindabad,1,1
#MarketIntelligence,1,1
#IranPakistan,1,1
#IranSaudiArabia,1,1
#Mecca_Defence_Pact,1,1
#BengaliIdentity,1,1
#podcast,1,1
#السعودية,1,1
#الرياض,1,1
#LamhaNews,1,1
